X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
-77.045781399300139,38.901014045740062,19026979,2019-02-15T07:09:13.000Z,DAY,OTHERS,THEFT/OTHER,2000 - 2099 BLOCK OF PENNSYLVANIA AVENUE NW,396029,137018,2,2A,2,207,Cluster 5,010800 1,010800,Precinct 2,38.9010062591095,-77.0457791014457,,2019-02-15T06:36:35.000Z,2019-02-15T07:00:25.000Z,259266651,19026979-01
-76.988911162199713,38.90641849509494,19026982,2019-02-15T08:02:57.000Z,DAY,OTHERS,BURGLARY,1100 - 1199 BLOCK OF OWEN PLACE NE,400962,137617,5,5D,5,506,Cluster 23,008802 4,008802,Precinct 77,38.9064107052541,-76.9889088817251,,2019-02-15T00:30:44.000Z,2019-02-15T06:00:35.000Z,259266652,19026982-01
-76.952240477371589,38.900733996302961,19026988,2019-02-15T07:59:44.000Z,DAY,OTHERS,THEFT F/AUTO,600 - 653 BLOCK OF ANACOSTIA AVENUE NE,404143,136987,7,7D,6,601,Cluster 30,009602 1,009602,Precinct 100,38.9007262062436,-76.9522382086659,,2019-02-15T06:31:15.000Z,,259266653,19026988-01
-77.004487521137705,38.912229317475266,19026990,2019-02-15T07:53:48.000Z,DAY,OTHERS,THEFT/OTHER,1617 - 1699 BLOCK OF ECKINGTON PLACE NE,399611,138262,5,5E,5,502,Cluster 21,008701 1,008701,Precinct 75,38.9122215270432,-77.004485235457,,2019-02-10T12:00:22.000Z,2019-02-10T15:22:21.000Z,259266654,19026990-01
-76.982784373835187,38.87839270609728,19026995,2019-02-15T08:04:41.000Z,DAY,OTHERS,THEFT F/AUTO,1500 - 1599 BLOCK OF K STREET SE,401494,134506,6,6B,1,106,Cluster 26,007100 1,007100,Precinct 91,38.8783849216822,-76.9827820969772,,2019-02-07T08:29:01.000Z,2019-02-15T06:30:34.000Z,259266655,19026995-01
-77.080299606739942,38.964494988903766,19026999,2019-02-15T09:48:06.000Z,DAY,OTHERS,BURGLARY,5530 - 5599 BLOCK OF 41ST STREET NW,393041,144067,3,3E,2,201,Cluster 11,001100 2,001100,Precinct 32,38.9644871907748,-77.0802972942474,,2019-02-14T22:45:41.000Z,2019-02-15T07:00:45.000Z,259266656,19026999-01
-77.051440341518912,38.898957784487848,19027002,2019-02-15T08:33:26.000Z,DAY,OTHERS,THEFT F/AUTO,700 - 799 BLOCK OF 24TH STREET NW,395538,136790,2,2A,2,207,Cluster 5,005600 2,005600,Precinct 3,38.8989499984831,-77.0514380420283,,2019-02-15T07:00:43.000Z,2019-02-15T08:00:49.000Z,259266657,19027002-01
-76.932710108398169,38.902219767710719,19027006,2019-02-15T09:43:08.000Z,DAY,OTHERS,MOTOR VEHICLE THEFT,900 - 999 BLOCK OF 48TH PLACE NE,405837,137153,7,7C,6,602,Cluster 31,007809 2,007809,Precinct 94,38.9022119766253,-76.9327078456863,,2019-02-14T23:45:21.000Z,2019-02-15T06:00:23.000Z,259266658,19027006-01
-77.0015130207819,38.925597754538053,19027022,2019-02-15T09:15:19.000Z,DAY,OTHERS,THEFT/OTHER,300 - 399 BLOCK OF FRANKLIN STREET NE,399869,139746,5,5E,5,502,Cluster 21,009204 1,009204,Precinct 74,38.9255899613001,-77.0015107352109,,2019-02-08T14:22:44.000Z,2019-02-08T18:00:16.000Z,259266659,19027022-01
-77.013922910914019,38.931227130660325,19027029,2019-02-15T09:48:39.000Z,DAY,OTHERS,THEFT/OTHER,100 - 199 BLOCK OF IRVING STREET NW,398793,140371,5,5E,4,405,Cluster 21,002302 1,002302,Precinct 44,38.9312193367508,-77.0139206211335,,2019-02-14T15:30:02.000Z,2019-02-14T15:40:58.000Z,259266660,19027029-01
-76.983685481624732,38.868852937687791,19027031,2019-02-15T09:32:57.000Z,DAY,OTHERS,MOTOR VEHICLE THEFT,1400 - 1599 BLOCK OF RIDGE PLACE SE,401416,133447,8,8A,6,607,Cluster 34,007601 5,007601,Precinct 140,38.8688451552316,-76.983683205067,,2019-02-15T00:00:46.000Z,2019-02-15T08:00:16.000Z,259266661,19027031-01
-77.028527569822572,38.968978164043293,19027041,2019-02-15T10:01:20.000Z,DAY,OTHERS,BURGLARY,1200  - 1299 BLOCK OF UNDERWOOD STREET NW,397528,144562,4,4A,4,402,Cluster 17,001804 2,001804,Precinct 61,38.9689703630753,-77.0285252731806,,2019-02-15T07:30:47.000Z,2019-02-15T08:00:37.000Z,259266662,19027041-01
-77.010610539653541,38.915571015044918,19027054,2019-02-15T11:30:11.000Z,DAY,OTHERS,MOTOR VEHICLE THEFT,1 - 99 BLOCK OF T STREET NW,399080,138633,5,5E,3,308,Cluster 21,003302 1,003302,Precinct 19,38.9155632241674,-77.0106082518617,,2019-02-15T09:36:58.000Z,,259266663,19027054-01
-77.022437486615843,38.940891712588169,19027056,2019-02-15T11:09:54.000Z,DAY,OTHERS,THEFT F/AUTO,700  - 799 BLOCK OF TAYLOR STREET NW,398055,141444,4,4C,4,407,Cluster 18,002400 4,002400,Precinct 45,38.9408839170491,-77.0224351935919,,2019-02-14T16:00:11.000Z,2019-02-15T09:00:49.000Z,259266664,19027056-01
-77.02398309632116,38.906443584195031,19027057,2019-02-15T10:47:03.000Z,DAY,OTHERS,THEFT F/AUTO,1200 - 1299 BLOCK OF 9TH STREET NW,397920,137620,2,2F,3,307,Cluster 7,004902 2,004902,Precinct 129,38.9064357956565,-77.0239808049225,,2019-02-14T20:00:26.000Z,2019-02-15T08:00:30.000Z,259266665,19027057-01
-77.006675169592285,38.879285614771092,19027060,2019-02-15T12:32:17.000Z,DAY,KNIFE,ASSAULT W/DANGEROUS WEAPON,70 - 101 BLOCK OF I STREET SE,399421,134605,6,6D,1,106,Cluster 27,007200 1,007200,Precinct 131,38.8792778310653,-77.0066728852404,CAPITOL RIVERFRONT,2019-02-15T09:24:33.000Z,2019-02-15T09:32:27.000Z,259266666,19027060-01
-77.008915029931245,38.819388360013569,19027066,2019-02-15T11:15:14.000Z,DAY,OTHERS,THEFT F/AUTO,151 199  BLOCK OF JOLIET STREET SW,399226,127956,8,8D,7,708,,010900 2,010900,Precinct 126,38.8193805884853,-77.008912748527,,2019-02-15T10:35:13.000Z,,259266667,19027066-01
-77.03273284903338,38.929520805242319,19027077,2019-02-15T12:28:12.000Z,DAY,OTHERS,THEFT/OTHER,3100 - 3299 BLOCK OF 14TH STREET NW,397162,140182,1,1A,3,302,Cluster 2,003000 1,003000,Precinct 39,38.9295130123787,-77.0327305534988,,2019-02-15T10:46:53.000Z,2019-02-15T10:54:27.000Z,259266668,19027077-01
-77.028383023315641,38.924756543512338,19028840,2019-02-18T19:02:21.000Z,EVENING,OTHERS,THEFT/OTHER,1100 - 1299 BLOCK OF FAIRMONT STREET NW,397539,139653,1,1B,3,304,Cluster 2,003600 3,003600,Precinct 36,38.9247487514464,-77.0283807294273,,2019-02-16T12:00:34.000Z,2019-02-16T13:35:41.000Z,259266669,19028840-01
-77.03273284903338,38.929520805242319,19028843,2019-02-18T14:14:24.000Z,DAY,OTHERS,THEFT/OTHER,3100 - 3299 BLOCK OF 14TH STREET NW,397162,140182,1,1A,3,302,Cluster 2,003000 1,003000,Precinct 39,38.9295130123787,-77.0327305534988,,2019-02-18T13:00:38.000Z,2019-02-18T13:07:38.000Z,259266670,19028843-01
-76.93073242028909,38.884967577354701,19028851,2019-02-18T14:09:01.000Z,DAY,OTHERS,THEFT F/AUTO,300 - 348 BLOCK OF 50TH STREET SE,406010,135238,7,7E,6,604,Cluster 33,009904 1,009904,Precinct 104,38.8849597896771,-76.9307301592432,,2019-02-18T12:33:11.000Z,2019-02-18T13:00:24.000Z,259266671,19028851-01
-77.041322492066001,38.925347233448385,19028856,2019-02-19T07:28:02.000Z,DAY,OTHERS,THEFT F/AUTO,2800 - 2828 BLOCK OF ONTARIO ROAD NW,396417,139719,1,1C,3,303,Cluster 1,003900 4,003900,Precinct 35,38.9253394417465,-77.0413201941118,,2019-02-18T13:35:25.000Z,2019-02-18T14:18:07.000Z,259266672,19028856-01
-76.970145293600524,38.925071469041185,19028857,2019-02-18T15:25:25.000Z,EVENING,OTHERS,MOTOR VEHICLE THEFT,2700 - 2799 BLOCK OF 26TH STREET NE,402589,139688,5,5C,5,503,Cluster 22,011100 2,011100,Precinct 72,38.9250636747403,-76.9701430178329,,2019-02-18T12:43:34.000Z,,259266673,19028857-01
-77.02243609297544,38.899813741893297,19028861,2019-02-18T14:31:46.000Z,DAY,OTHERS,THEFT/OTHER,700 - 799 BLOCK OF H STREET NW,398054,136884,2,2C,1,101,Cluster 8,005800 1,005800,Precinct 129,38.8998059546339,-77.0224338024634,DOWNTOWN,2019-02-18T12:31:58.000Z,2019-02-18T12:38:05.000Z,259266674,19028861-01
-77.009055309075407,38.907650561759155,19028876,2019-02-18T15:44:25.000Z,EVENING,GUN,ASSAULT W/DANGEROUS WEAPON,1200 - 1499 BLOCK OF NORTH CAPITOL STREET,399214.79,137753.75,5,5E,3,308,Cluster 21,004600 1,004600,Precinct 19,38.9076427724206,-77.0090530222517,NOMA,2019-02-18T13:42:28.000Z,2019-02-18T13:44:42.000Z,259266675,19028876-01
-77.032099345944701,38.905702951305294,19028877,2019-02-18T14:54:42.000Z,DAY,OTHERS,THEFT/OTHER,1300 - 1499 BLOCK OF MASSACHUSETTS AVENUE NW,397216,137538,2,2F,2,208,Cluster 8,005201 1,005201,Precinct 17,38.9056951632188,-77.0320970520639,DOWNTOWN,2019-02-03T16:00:10.000Z,2019-02-17T20:00:13.000Z,259266676,19028877-01
-77.095783931455728,38.945134100731991,19028892,2019-02-18T15:38:30.000Z,EVENING,OTHERS,THEFT/OTHER,4800 - 4899 BLOCK OF MASSACHUSETTS AVENUE NW,391696.79,141919.06,3,3D,2,205,Cluster 13,000901 3,000901,Precinct 9,38.9451263070805,-77.0957816153303,,2019-02-18T14:10:11.000Z,2019-02-18T14:51:04.000Z,259266677,19028892-01
-77.023465335805824,38.909650661055665,19028893,2019-02-18T15:21:37.000Z,EVENING,OTHERS,THEFT F/AUTO,800 - 899 BLOCK OF P STREET NW,397965,137976,6,6E,3,307,Cluster 7,004901 2,004901,Precinct 18,38.9096428718512,-77.0234630443724,,2019-02-17T18:00:48.000Z,2019-02-18T14:35:02.000Z,259266678,19028893-01
-77.018385787464666,38.884608316108469,19028896,2019-02-18T17:37:14.000Z,EVENING,OTHERS,THEFT F/AUTO,400 - 469 BLOCK OF VIRGINIA AVENUE SW,398405,135196,6,6D,1,103,Cluster 9,010200 1,010200,Precinct 142,38.884600531765,-77.0183834991419,SOUTHWEST,2019-02-18T12:40:39.000Z,2019-02-18T14:20:56.000Z,259266679,19028896-01
-77.018743460724949,38.886040592285937,19028913,2019-02-18T15:54:56.000Z,EVENING,OTHERS,THEFT/OTHER,400 - 599 BLOCK OF C STREET SW,398374,135355,6,6D,1,103,Cluster 9,010200 1,010200,Precinct 142,38.8860328076669,-77.0187411722034,SOUTHWEST,2019-02-18T15:25:28.000Z,2019-02-18T15:27:14.000Z,259266680,19028913-01
-77.025990177587346,38.940809901962254,19028914,2019-02-18T16:35:32.000Z,EVENING,OTHERS,THEFT F/AUTO,905  - 1199 BLOCK OF TAYLOR STREET NW,397747,141435,4,4C,4,404,Cluster 18,002502 1,002502,Precinct 47,38.9408021065723,-77.0259878834618,,2019-02-18T14:48:56.000Z,2019-02-18T16:29:17.000Z,259266681,19028914-01
-77.026603640113834,38.91557747636385,19028915,2019-02-18T16:13:22.000Z,EVENING,OTHERS,THEFT/OTHER,1000 - 1099 BLOCK OF T STREET NW,397693,138634,1,1B,3,305,Cluster 3,004400 2,004400,Precinct 137,38.9155696860816,-77.0266013473409,,2019-02-18T15:19:50.000Z,2019-02-18T15:59:08.000Z,259266682,19028915-01
-77.024084930938528,38.934873841983716,19028919,2019-02-18T17:17:27.000Z,EVENING,OTHERS,THEFT F/AUTO,3601 - 3638 BLOCK OF GEORGIA AVENUE NW,397912,140776,1,1A,4,409,Cluster 2,003100 1,003100,Precinct 43,38.9348660477186,-77.0240826377698,,2019-02-18T14:23:29.000Z,2019-02-18T15:53:42.000Z,259266683,19028919-01
-76.972781888761574,38.845663214132465,19028920,2019-02-18T17:02:33.000Z,EVENING,OTHERS,THEFT F/AUTO,3400 - 3683 BLOCK OF 22ND STREET SE,402363,130873,8,8B,7,704,Cluster 38,007409 2,007409,Precinct 116,38.8456554359531,-76.9727796170094,,2019-02-18T15:43:16.000Z,2019-02-18T16:04:13.000Z,259266684,19028920-01
-77.029625510103386,38.917558582639771,19028924,2019-02-18T16:04:42.000Z,EVENING,OTHERS,THEFT F/AUTO,2000 - 2099 BLOCK OF 13TH STREET NW,397431,138854,1,1B,3,305,Cluster 3,004400 1,004400,Precinct 22,38.917550792071,-77.0296232162682,,2019-02-18T15:27:17.000Z,,259266685,19028924-01
-77.029720551631314,38.924260753366624,19028937,2019-02-18T17:13:01.000Z,EVENING,OTHERS,MOTOR VEHICLE THEFT,2600 - 2699 BLOCK OF 13TH STREET NW,397423,139598,1,1B,3,304,Cluster 2,003600 2,003600,Precinct 36,38.9242529614506,-77.0297182573567,,2019-02-17T22:00:48.000Z,2019-02-18T15:00:28.000Z,259266686,19028937-01
-77.02474281276784,38.936179908283677,19028943,2019-02-18T16:42:01.000Z,EVENING,OTHERS,THEFT/OTHER,821  - 899 BLOCK OF ROCK CREEK CHURCH ROAD NW,397855,140921,4,4C,4,404,Cluster 18,002502 2,002502,Precinct 49,38.93617211378,-77.0247405193142,,2019-02-18T15:30:45.000Z,2019-02-18T15:55:22.000Z,259266687,19028943-01
-77.021922275938465,38.915920765218793,19028945,2019-02-18T16:55:07.000Z,EVENING,OTHERS,THEFT/OTHER,1900 - 1999 BLOCK OF 7TH STREET NW,398099,138672,1,1B,3,305,Cluster 3,004400 2,004400,Precinct 137,38.9159129746927,-77.0219199846024,,2019-02-18T16:08:26.000Z,,259266688,19028945-01
-77.008373581513268,38.915571196799505,19028953,2019-02-18T17:03:43.000Z,EVENING,OTHERS,THEFT F/AUTO,2 - 32 BLOCK OF T STREET NE,399274,138633,5,5E,5,502,Cluster 21,008701 1,008701,Precinct 75,38.9155634058386,-77.0083712944181,,2019-02-18T16:29:50.000Z,,259266689,19028953-01
-77.010610098652023,38.912607272097333,19028955,2019-02-18T17:03:25.000Z,EVENING,OTHERS,THEFT F/AUTO,1 - 99 BLOCK OF R STREET NW,399080,138304,5,5E,3,308,Cluster 21,003302 2,003302,Precinct 19,38.9125994818174,-77.0106078110414,,2019-02-18T14:00:34.000Z,2019-02-18T15:20:40.000Z,259266690,19028955-01
-77.010631311076139,38.900211780653265,19028956,2019-02-18T17:36:35.000Z,EVENING,OTHERS,THEFT/OTHER,1 - 99 BLOCK OF H STREET NW,399078,136928,6,6E,1,102,Cluster 8,004702 1,004702,Precinct 1,38.9002039928735,-77.0106290242159,NOMA,2019-02-18T16:33:43.000Z,,259266691,19028956-01
-77.023465335805824,38.909650661055665,19028958,2019-02-18T17:10:17.000Z,EVENING,OTHERS,THEFT/OTHER,800 - 899 BLOCK OF P STREET NW,397965,137976,6,6E,3,307,Cluster 7,004901 2,004901,Precinct 18,38.9096428718512,-77.0234630443724,,2019-02-18T16:02:10.000Z,2019-02-18T16:05:48.000Z,259266692,19028958-01
-77.010599702604111,38.920237331499081,19028960,2019-02-18T17:27:14.000Z,EVENING,OTHERS,THEFT/OTHER,1 - 99 BLOCK OF ADAMS STREET NW,399081,139151,5,5E,3,306,Cluster 21,003301 1,003301,Precinct 135,38.9202295396805,-77.0105974145305,,2019-02-18T12:25:08.000Z,2019-02-18T12:29:04.000Z,259266693,19028960-01
-77.021992866321952,38.92047896730363,19028964,2019-02-18T17:21:11.000Z,EVENING,OTHERS,THEFT/OTHER,2300 2349  BLOCK OF GEORGIA AVENUE NW,398093,139178,1,1B,3,306,Cluster 3,003500 2,003500,Precinct 37,38.9204711758614,-77.0219905746853,,2019-02-18T15:30:39.000Z,2019-02-18T16:45:45.000Z,259266694,19028964-01
-77.037534366504048,38.914835792701744,19027080,2019-02-15T11:44:15.000Z,DAY,OTHERS,MOTOR VEHICLE THEFT,1600 - 1699 BLOCK OF SWANN STREET NW,396745,138552,2,2B,3,301,Cluster 6,004201 1,004201,Precinct 141,38.914828002977,-77.0375320703726,,2019-02-14T07:00:40.000Z,2019-02-14T18:00:40.000Z,259266695,19027080-01
-77.026528799127533,38.900371402474498,19027104,2019-02-17T02:12:42.000Z,MIDNIGHT,OTHERS,THEFT/OTHER,1000 - 1099 BLOCK OF PALMER ALLEY NW,397699,136946,2,2C,2,209,Cluster 8,005800 1,005800,Precinct 129,38.9003636152553,-77.026526507307,DOWNTOWN,2019-02-15T11:39:43.000Z,2019-02-15T11:40:47.000Z,259266696,19027104-01
-77.042576614664412,38.902532805781924,19027106,2019-02-15T12:37:51.000Z,DAY,OTHERS,THEFT/OTHER,1800 - 1899 BLOCK OF K STREET NW,396307.07,137186.46,2,2B,2,207,Cluster 6,010700 1,010700,Precinct 17,38.9025250187255,-77.042574317715,GOLDEN TRIANGLE,2019-02-13T18:25:02.000Z,2019-02-13T18:30:15.000Z,259266697,19027106-01
-77.031969000730271,38.897838690533028,19027107,2019-02-15T12:50:52.000Z,DAY,OTHERS,THEFT/OTHER,600 - 699 BLOCK OF 14TH STREET NW,397227,136665,2,2C,2,207,Cluster 8,005800 1,005800,Precinct 129,38.8978309040274,-77.0319667073705,DOWNTOWN,2019-02-14T18:02:04.000Z,2019-02-14T18:07:11.000Z,259266698,19027107-01
-77.043609261451408,38.909935217632068,19027109,2019-02-15T19:15:54.000Z,EVENING,OTHERS,THEFT/OTHER,1300 - 1699 BLOCK OF CONNECTICUT AVENUE NW,396217.89,138008.23,2,2B,2,208,Cluster 6,005500 1,005500,Precinct 14,38.9099274291219,-77.0436069637279,DUPONT CIRCLE,2019-02-15T11:13:18.000Z,,259266699,19027109-01
-77.00256174604813,38.905653283199285,19027122,2019-02-15T13:41:42.000Z,DAY,OTHERS,THEFT/OTHER,200 - 299 BLOCK OF M STREET NE,399778,137532,6,6C,5,501,Cluster 25,010600 2,010600,Precinct 83,38.9056454940214,-77.0025594613687,NOMA,2019-02-15T12:39:03.000Z,2019-02-15T13:37:06.000Z,259266700,19027122-01
-76.973989471853898,38.851032519866592,19027123,2019-02-15T14:03:29.000Z,DAY,OTHERS,THEFT/OTHER,2200 - 2209 BLOCK OF ALABAMA AVENUE SE,402258,131469,8,8E,7,704,Cluster 38,007403 1,007403,Precinct 116,38.8510247406478,-76.9739871993994,,2019-02-15T13:11:26.000Z,2019-02-15T14:03:48.000Z,259266701,19027123-01
-76.948727300858266,38.864536799634408,19027126,2019-02-15T13:22:05.000Z,DAY,OTHERS,MOTOR VEHICLE THEFT,3901 3998  BLOCK OF PENNSYLVANIA AVENUE SE,404450,132969,7,7B,6,605,Cluster 35,007603 1,007603,Precinct 110,38.8645290167499,-76.9487250354497,,2019-02-14T23:30:37.000Z,2019-02-15T06:00:20.000Z,259266702,19027126-01
-77.020922312385295,38.88757164714437,19027128,2019-02-15T13:40:51.000Z,DAY,OTHERS,THEFT F/AUTO,600 - 699 BLOCK OF INDEPENDENCE AVENUE SW,398185,135525,6,6D,1,103,,010200 1,010200,Precinct 142,38.8875638622977,-77.0209200230919,SOUTHWEST,2019-02-15T12:51:09.000Z,2019-02-15T13:31:06.000Z,259266703,19027128-01
-76.925889830016203,38.897765508975255,19027129,2019-02-15T16:38:26.000Z,EVENING,OTHERS,THEFT/OTHER,600 - 699 BLOCK OF DIVISION AVENUE NE,406429,136659,7,7C,6,602,Cluster 31,007804 2,007804,Precinct 97,38.897757718535,-76.9258875697003,,2019-02-14T15:50:37.000Z,2019-02-14T15:56:09.000Z,259266704,19027129-01
-76.941886593290917,38.90252196841368,19027131,2019-02-16T10:05:50.000Z,DAY,OTHERS,THEFT F/AUTO,4250 - 4299 BLOCK OF MINNESOTA AVENUE NE,405041,137186,7,7D,6,602,Cluster 31,007809 2,007809,Precinct 94,38.9025141776085,-76.9418843277018,,2019-02-14T17:30:09.000Z,2019-02-15T09:00:04.000Z,259266705,19027131-01
-77.023969211736059,38.899435086198444,19027134,2019-02-15T14:36:07.000Z,DAY,OTHERS,THEFT F/AUTO,703 - 799 BLOCK OF 9TH STREET NW,397921,136842,2,2C,1,101,Cluster 8,005800 1,005800,Precinct 129,38.8994272990726,-77.0239669207698,DOWNTOWN,2019-02-15T11:49:46.000Z,2019-02-15T11:56:39.000Z,259266706,19027134-01
-76.981001579635915,38.865114040829788,19027135,2019-02-15T14:31:10.000Z,DAY,OTHERS,BURGLARY,1600 - 1699 BLOCK OF U STREET SE,401649,133032,8,8A,7,701,Cluster 28,007504 1,007504,Precinct 114,38.8651062590285,-76.9809993041415,,2019-02-15T12:53:41.000Z,2019-02-15T14:07:31.000Z,259266707,19027135-01
-76.984883745500071,38.923948264522402,19027136,2019-02-15T16:39:31.000Z,EVENING,OTHERS,BURGLARY,1400 - 1424 BLOCK OF MONTANA AVENUE NE,401311,139563,5,5C,5,505,Cluster 22,009102 3,009102,Precinct 72,38.9239404709971,-76.9848814652097,,2019-02-15T12:20:33.000Z,2019-02-15T14:30:33.000Z,259266708,19027136-01
-76.983064241830903,38.864591870083622,19027138,2019-02-15T17:25:18.000Z,EVENING,OTHERS,THEFT F/AUTO,1500 - 1599 BLOCK OF V STREET SE,401470,132974,8,8A,7,701,Cluster 28,007503 1,007503,Precinct 114,38.8645840884645,-76.983061965726,,2019-02-15T13:50:25.000Z,2019-02-15T15:08:03.000Z,259266709,19027138-01
-76.993152403339593,38.922219443509491,19027141,2019-02-15T14:56:07.000Z,DAY,OTHERS,THEFT/OTHER,900 - 999 BLOCK OF RHODE ISLAND AVENUE NE,400594,139371,5,5C,5,505,Cluster 22,009102 2,009102,Precinct 72,38.9222116506408,-76.9931501205792,,2019-02-15T13:55:58.000Z,2019-02-15T13:58:40.000Z,259266710,19027141-01
-76.993152403339593,38.922219443509491,19027143,2019-02-15T15:15:54.000Z,EVENING,OTHERS,THEFT/OTHER,900 - 999 BLOCK OF RHODE ISLAND AVENUE NE,400594,139371,5,5C,5,505,Cluster 22,009102 2,009102,Precinct 72,38.9222116506408,-76.9931501205792,,2019-02-15T13:45:53.000Z,2019-02-15T14:00:27.000Z,259266711,19027143-01
-77.031360485363408,38.92965630624839,19027144,2019-02-15T14:10:26.000Z,DAY,OTHERS,THEFT/OTHER,1300 - 1399 BLOCK OF KENYON STREET NW,397281,140197,1,1A,3,302,Cluster 2,003000 1,003000,Precinct 39,38.9296485133062,-77.031358190248,,2019-02-15T13:02:26.000Z,,259266712,19027144-01
